"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"112885987-112885987",76.5,6.25738784269265,0.236541531908907,26.4536540039928,3.3121239877035e-154,2.71443615901337e-152
"113085987-113085987",75.5,6.23840473932508,0.236096596050831,26.423103270756,7.43689770509721e-154,5.82988111403925e-152
"113105987-113105987",76,6.24792751344359,0.236950416157392,26.368079933202,3.18458144264036e-153,2.39241680878357e-151
"112875987-112875987",74,6.20945336562895,0.238203668137153,26.0678326836414,8.44735917773898e-150,6.09223543898535e-148
"113030987-113030987",73,6.18982455888002,0.239727127369056,25.8202925418235,5.2477990480601e-147,3.63914680140475e-145
"113000987-113000987",72.5,6.17990909001493,0.240400516065635,25.7067213962539,9.8316788514828e-146,6.56537665526796e-144
"113110987-113110987",74.5,6.21916852046216,0.243293479980098,25.5624134315926,3.99612127447772e-144,2.57321666352976e-142
"113190987-113190987",73.5,6.19967234483636,0.243820025871215,25.4272483266449,1.2604275702554e-142,7.83638244541547e-141
"112785987-112785987",73.5,6.19967234483636,0.244919755229942,25.3130758644432,2.29314945678204e-141,1.37818282352601e-139
"112940987-112940987",75,6.22881869049588,0.24701182060149,25.2166826483377,2.62874751315479e-140,1.52891347297358e-138
"112995987-112995987",71.5,6.15987133677839,0.244301696497122,25.2141979572826,2.79898908778611e-140,1.57705541414948e-138
"113075987-113075987",71,6.14974711950468,0.244755826529369,25.1260499360033,2.58276611837544e-139,1.4111294883124e-137
"113165987-113165987",71.5,6.15987133677839,0.247132846899139,24.9253444617679,3.95301986758614e-137,2.09626318272289e-135
"112850987-112850987",69.5,6.11894107272351,0.245818560242477,24.8921036177567,9.05934715354399e-137,4.66685797652566e-135
"112905987-112905987",69,6.10852445677817,0.245902402281092,24.8412557181751,3.21448981918869e-136,1.60992365111034e-134
"112760987-112760987",69,6.10852445677817,0.24614891953478,24.8163772903137,5.96774629579551e-136,2.90806664089711e-134
"112805987-112805987",67.5,6.07681559705083,0.24859189080019,24.4449470072827,5.69525720567568e-132,2.70224966890349e-130
"112825987-112825987",67,6.06608919045777,0.24957387884887,24.3057855991857,1.70278292723223e-130,7.87209645589668e-129
"113025987-113025987",67.5,6.07681559705083,0.250372498033023,24.2710986421892,3.95974409661757e-130,1.78485465155037e-128
"112835987-112835987",71,6.14974711950468,0.254040650873531,24.2077285598131,1.84458341827708e-129,8.11166805647213e-128
"113015987-113015987",66.5,6.05528243550119,0.250210013474508,24.200799765826,2.18200704648104e-129,9.36704453525074e-128
"112765987-112765987",69.5,6.11894107272351,0.25306117401094,24.1796913202457,3.63908851658157e-129,1.5258782779992e-127
"112970987-112970987",70.5,6.13955135239879,0.254179649312143,24.1543780905102,6.71620199828149e-129,2.75211640975035e-127
"112755987-112755987",66,6.04439411935845,0.251081169290339,24.0734665066379,4.74161274074092e-128,1.89980617145686e-126
"113070987-113070987",66,6.04439411935845,0.251147053274846,24.0671512587635,5.52149553727664e-128,2.16418618558908e-126
"113060987-113060987",66,6.04439411935845,0.251344662074045,24.0482295087603,8.7115190474895e-128,3.34188698779225e-126
"113045987-113045987",71,6.14974711950468,0.255749826401526,24.0459483630288,9.20360844062726e-128,3.45710542051061e-126
"112870987-112870987",65.5,6.03342300153745,0.252128704100938,23.929933019931,1.49513179296758e-126,5.50147474024601e-125
"112975987-112975987",65.5,6.03342300153745,0.252395151462334,23.9046707774727,2.73866783438472e-126,9.8756362107913e-125
"112860987-112860987",65.5,6.03342300153745,0.252794606529075,23.8668976540982,6.76179370010393e-126,2.39049294927204e-124
"113115987-113115987",65.5,6.03342300153745,0.253991437332135,23.7544346569754,9.88707839975676e-125,3.42815429899258e-123
"112855987-112855987",64.5,6.01122725542325,0.254231372568591,23.6447107006884,1.33787540432742e-123,4.55130066792895e-122
"112895987-112895987",65,6.02236781302845,0.256181376016461,23.5082186951852,3.36109023497231e-122,1.1222306840102e-120
"113055987-113055987",66,6.04439411935845,0.257673463252739,23.4575731744243,1.10642350280085e-121,3.6270574100908e-120
"113020987-113020987",63.5,5.98868468677217,0.255692363535469,23.4214452241215,2.58439111337734e-121,8.32081638824884e-120
"112830987-112830987",64,6,0.256457231308827,23.3957138559871,4.72524761110709e-121,1.49467042856598e-119
"112920987-112920987",63,5.97727992349992,0.256626434113076,23.2917545854461,5.37398476261033e-120,1.67056802189421e-118
"112735987-112735987",63,5.97727992349992,0.256697075023658,23.2853448873504,6.24085050257712e-120,1.9071616027367e-118
"113135987-113135987",64,6,0.259135741763309,23.153888225424,1.32838009114451e-118,3.99178217388924e-117
"112820987-112820987",64.5,6.01122725542325,0.259974169379196,23.1224020054674,2.7561883870625e-118,8.14656993749784e-117
"112865987-112865987",63,5.97727992349992,0.260079242647404,22.9825335642163,6.9700412293317e-117,2.02693295749759e-115
"112980987-112980987",62,5.95419631038687,0.260370684705538,22.868151678138,9.64317583345424e-116,2.75978508376476e-114
"112745987-112745987",61,5.93073733756289,0.260623476847673,22.7559597059218,1.25271001590863e-114,3.5291189979426e-113
"112845987-112845987",60,5.90689059560852,0.262888287374443,22.4692041421955,8.30663830294599e-112,2.30413367080179e-110
"112880987-112880987",59.5,5.89481776330794,0.263794275960901,22.3462686665031,1.31265947069941e-110,3.58594700859249e-109
"113150987-113150987",60,5.90689059560852,0.265315602810776,22.2636382219154,8.32125651258831e-110,2.23928738689503e-108
"112890987-112890987",59.5,5.89481776330794,0.265178090921101,22.2296560882243,1.77488941103699e-109,4.70606707073485e-108
"112740987-112740987",59,5.88264304936184,0.264671157476849,22.2262338875229,1.9154641105678e-109,5.00519100196195e-108
"112950987-112950987",59,5.88264304936184,0.264982877235703,22.2000874574594,3.42782910476544e-109,8.82910839413154e-108
"112795987-112795987",59,5.88264304936184,0.265372351980607,22.1675054143988,7.07228327294202e-109,1.79108944250106e-107
"113100987-113100987",60.5,5.91886323727459,0.26701239495968,22.1669980457962,7.15243704160159e-109,1.79108944250106e-107
"113080987-113080987",59,5.88264304936184,0.265917293102755,22.1220778111963,1.93794125699706e-108,4.78644943337767e-107
"112800987-112800987",58,5.85798099512757,0.268090615285246,21.8507499372731,7.64669301745576e-106,1.86310642033415e-104
"112960987-112960987",60,5.90689059560852,0.271718788996236,21.7389846960136,8.78199389472506e-105,2.11119133229191e-103
"113170987-113170987",61,5.93073733756289,0.272921901062321,21.7305291897722,1.05578456980522e-104,2.50470997284055e-103
"112935987-112935987",57.5,5.84549005094437,0.26954256377473,21.6867049459014,2.73917877586236e-104,6.41394718555823e-103
"112985987-112985987",56.5,5.82017896241519,0.274796916996094,21.1799281667265,1.46255281165053e-99,3.38074707616141e-98
"113005987-113005987",55,5.78135971352466,0.273584488533025,21.1318987583128,4.04932275035594e-99,9.24168217581236e-98
"112965987-112965987",55,5.78135971352466,0.283993278277114,20.3573822190374,3.99358602608721e-92,9.00054450629404e-91
"112750987-112750987",52.5,5.71424551766612,0.280807539636295,20.3493308088069,4.70655631737996e-92,1.04764457286865e-90
"113035987-113035987",52.5,5.71424551766612,0.281549471185261,20.2957068028237,1.40322379491249e-91,3.08538110027709e-90
"112770987-112770987",51,5.6724253419715,0.283634526077051,19.9990650659735,5.61145388966128e-89,1.21897004374208e-87
"113140987-113140987",50,5.64385618977472,0.286312839602433,19.7122008136682,1.6943534608629e-86,3.63680867849501e-85
"113040987-113040987",49,5.61470984411521,0.289897696212762,19.3679008749157,1.44010180134427e-83,3.05471005626321e-82
"112865987-112870987",49,5.61470984411521,0.291543869989636,19.2585419282347,1.19701948318214e-82,2.48071968756023e-81
"112870987-112865987",49,5.61470984411521,0.291543869989636,19.2585419282347,1.19701948318214e-82,2.48071968756023e-81
"112945987-112945987",47.5,5.56985560833095,0.293299531958404,18.9903324125347,2.05026601620621e-80,4.20071548547704e-79
"112995987-113000987",47.5,5.56985560833095,0.293947011886472,18.9485022235305,4.54331494752177e-80,9.10177427820195e-79
"113000987-112995987",47.5,5.56985560833095,0.293947011886472,18.9485022235305,4.54331494752177e-80,9.10177427820195e-79
"113130987-113130987",47,5.55458885167764,0.295191319925104,18.8169111919922,5.48927951271009e-79,1.08760120455124e-77
"112990987-112990987",48,5.58496250072116,0.30242231758645,18.4674284136608,3.77650918436226e-76,7.40113702109256e-75
"113175987-113180987",44.5,5.4757334309664,0.302798294955733,18.0837657350974,4.27840115858924e-73,8.20633754142171e-72
"113180987-113175987",44.5,5.4757334309664,0.302798294955733,18.0837657350974,4.27840115858924e-73,8.20633754142171e-72
"112940987-112945987",44.5,5.4757334309664,0.303274455710427,18.0553730387196,7.15767347586472e-73,1.34430054968584e-71
"112945987-112940987",44.5,5.4757334309664,0.303274455710427,18.0553730387196,7.15767347586472e-73,1.34430054968584e-71
"113110987-113115987",45,5.49185309632967,0.306714091205808,17.9054476262866,1.06931980634171e-71,1.96733021513683e-70
"113115987-113110987",45,5.49185309632967,0.306714091205808,17.9054476262866,1.06931980634171e-71,1.96733021513683e-70
"112885987-112890987",43.5,5.44294349584873,0.306601095896706,17.7525245952887,1.64777251035313e-70,2.97093383616669e-69
"112890987-112885987",43.5,5.44294349584873,0.306601095896706,17.7525245952887,1.64777251035313e-70,2.97093383616669e-69
"112900987-112905987",44,5.4594316186373,0.311955599415041,17.5006687774622,1.41596775206114e-68,2.50293123231984e-67
"112905987-112900987",44,5.4594316186373,0.311955599415041,17.5006687774622,1.41596775206114e-68,2.50293123231984e-67
"112785987-112790987",42.5,5.4093909361377,0.309281923966329,17.4901619427543,1.70272744507599e-68,2.89624300327548e-67
"112790987-112785987",42.5,5.4093909361377,0.309281923966329,17.4901619427543,1.70272744507599e-68,2.89624300327548e-67
"112830987-112835987",42.5,5.4093909361377,0.309281923966329,17.4901619427543,1.70272744507599e-68,2.89624300327548e-67
"112835987-112830987",42.5,5.4093909361377,0.309281923966329,17.4901619427543,1.70272744507599e-68,2.89624300327548e-67
"113030987-113035987",43,5.4262647547021,0.310658264031078,17.4669898823592,2.55630578117376e-68,4.26761048468175e-67
"113035987-113030987",43,5.4262647547021,0.310658264031078,17.4669898823592,2.55630578117376e-68,4.26761048468175e-67
"112845987-112850987",43.5,5.44294349584873,0.314758756462647,17.2924291511955,5.36432986615303e-67,8.79262431697629e-66
"112850987-112845987",43.5,5.44294349584873,0.314758756462647,17.2924291511955,5.36432986615303e-67,8.79262431697629e-66
"112795987-112800987",42.5,5.4093909361377,0.31463782904237,17.1924366265865,3.02545537523839e-66,4.87044289424537e-65
"112800987-112795987",42.5,5.4093909361377,0.31463782904237,17.1924366265865,3.02545537523839e-66,4.87044289424537e-65
"112855987-112860987",41.5,5.37503943134692,0.313091902871603,17.1676091973263,4.64147834475908e-66,7.34086443473739e-65
"112860987-112855987",41.5,5.37503943134692,0.313091902871603,17.1676091973263,4.64147834475908e-66,7.34086443473739e-65
"113150987-113155987",42,5.39231742277876,0.31568001787771,17.0815924904936,2.03488420379684e-65,3.16284156848768e-64
"113155987-113150987",42,5.39231742277876,0.31568001787771,17.0815924904936,2.03488420379684e-65,3.16284156848768e-64
"112780987-112785987",41,5.35755200461808,0.314750670076123,17.0215745794039,5.68218205197721e-65,8.53747853309575e-64
"112785987-112780987",41,5.35755200461808,0.314750670076123,17.0215745794039,5.68218205197721e-65,8.53747853309575e-64
"112870987-112875987",41,5.35755200461808,0.314750670076123,17.0215745794039,5.68218205197721e-65,8.53747853309575e-64
"112875987-112870987",41,5.35755200461808,0.314750670076123,17.0215745794039,5.68218205197721e-65,8.53747853309575e-64
"113140987-113145987",41,5.35755200461808,0.315828107528338,16.9635060240399,1.52940156858791e-64,2.26025494111803e-63
"113145987-113140987",41,5.35755200461808,0.315828107528338,16.9635060240399,1.52940156858791e-64,2.26025494111803e-63
"112930987-112930987",68,6.08746284125034,0.359986837352612,16.9102372909474,3.78182162185699e-64,5.54359706033183e-63
"113135987-113140987",41,5.35755200461808,0.317982542843345,16.8485727446286,1.07477313649073e-63,1.55025277207422e-62
"113140987-113135987",41,5.35755200461808,0.317982542843345,16.8485727446286,1.07477313649073e-63,1.55025277207422e-62
"113025987-113030987",40.5,5.33985000288462,0.317329508945172,16.8274612110128,1.53546163342946e-63,2.17987190950654e-62
"113030987-113025987",40.5,5.33985000288462,0.317329508945172,16.8274612110128,1.53546163342946e-63,2.17987190950654e-62
"112800987-112805987",40.5,5.33985000288462,0.318152632049839,16.7839252766205,3.19969391214572e-63,4.47213032837111e-62
"112805987-112800987",40.5,5.33985000288462,0.318152632049839,16.7839252766205,3.19969391214572e-63,4.47213032837111e-62
"112765987-112770987",42.5,5.4093909361377,0.323250355765146,16.7343696291794,7.36325284989974e-63,1.0134309075091e-61
"112770987-112765987",42.5,5.4093909361377,0.323250355765146,16.7343696291794,7.36325284989974e-63,1.0134309075091e-61
"112735987-112740987",40,5.32192809488736,0.318503330587132,16.7091756468508,1.1237831644114e-62,1.52344439506297e-61
"112740987-112735987",40,5.32192809488736,0.318503330587132,16.7091756468508,1.1237831644114e-62,1.52344439506297e-61
"112905987-112910987",40,5.32192809488736,0.321858142713967,16.5350115116302,2.05338927430932e-61,2.742415453022e-60
"112910987-112905987",40,5.32192809488736,0.321858142713967,16.5350115116302,2.05338927430932e-61,2.742415453022e-60
"113020987-113025987",39.5,5.3037807481771,0.321182157938252,16.5133106465919,2.94286664356016e-61,3.87298434915253e-60
"113025987-113020987",39.5,5.3037807481771,0.321182157938252,16.5133106465919,2.94286664356016e-61,3.87298434915253e-60
"113040987-113045987",40.5,5.33985000288462,0.324240822230419,16.4687776392632,6.15005409870404e-61,7.97737233090891e-60
"113045987-113040987",40.5,5.33985000288462,0.324240822230419,16.4687776392632,6.15005409870404e-61,7.97737233090891e-60
"113045987-113050987",39,5.28540221886225,0.322402964870083,16.3937767166381,2.11862662348597e-60,2.70913744832993e-59
"113050987-113045987",39,5.28540221886225,0.322402964870083,16.3937767166381,2.11862662348597e-60,2.70913744832993e-59
"112750987-112755987",39,5.28540221886225,0.323564869880935,16.3349074972421,5.57167172139416e-60,7.0249818976739e-59
"112755987-112750987",39,5.28540221886225,0.323564869880935,16.3349074972421,5.57167172139416e-60,7.0249818976739e-59
"113035987-113040987",39.5,5.3037807481771,0.326376715344277,16.2504875465225,2.21595157137303e-59,2.75542116081764e-58
"113040987-113035987",39.5,5.3037807481771,0.326376715344277,16.2504875465225,2.21595157137303e-59,2.75542116081764e-58
"112965987-112970987",38.5,5.2667865406949,0.324299893766182,16.2404818562544,2.60867003749293e-59,3.19961365823112e-58
"112970987-112965987",38.5,5.2667865406949,0.324299893766182,16.2404818562544,2.60867003749293e-59,3.19961365823112e-58
"113055987-113060987",38.5,5.2667865406949,0.326077061075656,16.1519688730049,1.09994020005435e-58,1.3310014635557e-57
"113060987-113055987",38.5,5.2667865406949,0.326077061075656,16.1519688730049,1.09994020005435e-58,1.3310014635557e-57
"112980987-112985987",38,5.24792751344359,0.326308459736096,16.0827197605844,3.3724237766357e-58,4.0268079928968e-57
"112985987-112980987",38,5.24792751344359,0.326308459736096,16.0827197605844,3.3724237766357e-58,4.0268079928968e-57
"112770987-112775987",38,5.24792751344359,0.326459502669593,16.0752787728007,3.8027884818787e-58,4.48132525021392e-57
"112775987-112770987",38,5.24792751344359,0.326459502669593,16.0752787728007,3.8027884818787e-58,4.48132525021392e-57
"112920987-112925987",38.5,5.2667865406949,0.328743253617656,16.0209722412142,9.12128636792304e-58,1.06101156912034e-56
"112925987-112920987",38.5,5.2667865406949,0.328743253617656,16.0209722412142,9.12128636792304e-58,1.06101156912034e-56
"112760987-112765987",37.5,5.22881869049588,0.328434404539863,15.9204353082968,4.57185032675221e-57,5.18430574788316e-56
"112765987-112760987",37.5,5.22881869049588,0.328434404539863,15.9204353082968,4.57185032675221e-57,5.18430574788316e-56
"112935987-112940987",37.5,5.22881869049588,0.328434404539863,15.9204353082968,4.57185032675221e-57,5.18430574788316e-56
"112940987-112935987",37.5,5.22881869049588,0.328434404539863,15.9204353082968,4.57185032675221e-57,5.18430574788316e-56
"112955987-112960987",37.5,5.22881869049588,0.329358995478012,15.8757427678788,9.32998464742823e-57,1.04484238008156e-55
"112960987-112955987",37.5,5.22881869049588,0.329358995478012,15.8757427678788,9.32998464742823e-57,1.04484238008156e-55
"112895987-112900987",37.5,5.22881869049588,0.330283683874184,15.8312957793208,1.89282645961266e-56,2.09372153784149e-55
"112900987-112895987",37.5,5.22881869049588,0.330283683874184,15.8312957793208,1.89282645961266e-56,2.09372153784149e-55
"113085987-113090987",39,5.28540221886225,0.334036385675145,15.8228338154826,2.16523674984617e-56,2.36601324846827e-55
"113090987-113085987",39,5.28540221886225,0.334036385675145,15.8228338154826,2.16523674984617e-56,2.36601324846827e-55
"112945987-112950987",37,5.20945336562895,0.330526592085701,15.7610718482772,5.76469363223566e-56,6.22379797540173e-55
"112950987-112945987",37,5.20945336562895,0.330526592085701,15.7610718482772,5.76469363223566e-56,6.22379797540173e-55
"113105987-113110987",36.5,5.18982455888002,0.333705373790817,15.5521156280008,1.53935598846647e-54,1.64228334154145e-53
"113110987-113105987",36.5,5.18982455888002,0.333705373790817,15.5521156280008,1.53935598846647e-54,1.64228334154145e-53
"113050987-113055987",36,5.16992500144231,0.335087951660125,15.4285612951136,1.05189005969213e-53,1.10909811557012e-52
"113055987-113050987",36,5.16992500144231,0.335087951660125,15.4285612951136,1.05189005969213e-53,1.10909811557012e-52
"112745987-112750987",36.5,5.18982455888002,0.337559961991811,15.374526434524,2.4261079612205e-53,2.52848130293674e-52
"112750987-112745987",36.5,5.18982455888002,0.337559961991811,15.374526434524,2.4261079612205e-53,2.52848130293674e-52
"112890987-112895987",38,5.24792751344359,0.341370979989749,15.3730920935376,2.48043046679847e-53,2.55555207522151e-52
"112895987-112890987",38,5.24792751344359,0.341370979989749,15.3730920935376,2.48043046679847e-53,2.55555207522151e-52
"112825987-112830987",36,5.16992500144231,0.339023224656985,15.249471497633,1.65971054796761e-52,1.69065430394667e-51
"112830987-112825987",36,5.16992500144231,0.339023224656985,15.249471497633,1.65971054796761e-52,1.69065430394667e-51
"113060987-113065987",35.5,5.14974711950468,0.338240397451534,15.2251095915963,2.40954518231716e-52,2.42704467246807e-51
"113065987-113060987",35.5,5.14974711950468,0.338240397451534,15.2251095915963,2.40954518231716e-52,2.42704467246807e-51
"112975987-112980987",37,5.20945336562895,0.343298414236697,15.1747085031309,5.20082751709618e-52,5.18071381951625e-51
"112980987-112975987",37,5.20945336562895,0.343298414236697,15.1747085031309,5.20082751709618e-52,5.18071381951625e-51
"113015987-113020987",35,5.12928301694497,0.340198144679225,15.0773397714482,2.28283148659959e-51,2.2248352272103e-50
"113020987-113015987",35,5.12928301694497,0.340198144679225,15.0773397714482,2.28283148659959e-51,2.2248352272103e-50
"113100987-113105987",35,5.12928301694497,0.340198144679225,15.0773397714482,2.28283148659959e-51,2.2248352272103e-50
"113105987-113100987",35,5.12928301694497,0.340198144679225,15.0773397714482,2.28283148659959e-51,2.2248352272103e-50
"112880987-112885987",35,5.12928301694497,0.342251334498177,14.9868897500889,8.94448082118237e-51,8.62401011796354e-50
"112885987-112880987",35,5.12928301694497,0.342251334498177,14.9868897500889,8.94448082118237e-51,8.62401011796354e-50
"113155987-113160987",34.5,5.10852445677817,0.342278965353672,14.9250318420812,2.26527430251365e-50,2.1609997711281e-49
"113160987-113155987",34.5,5.10852445677817,0.342278965353672,14.9250318420812,2.26527430251365e-50,2.1609997711281e-49
"113120987-113125987",34.5,5.10852445677817,0.342978207119136,14.894603653356,3.57297099119425e-50,3.37280978906976e-49
"113125987-113120987",34.5,5.10852445677817,0.342978207119136,14.894603653356,3.57297099119425e-50,3.37280978906976e-49
"112875987-112880987",34,5.08746284125034,0.344311090599624,14.7757739444014,2.09931767313036e-49,1.9611760438622e-48
"112880987-112875987",34,5.08746284125034,0.344311090599624,14.7757739444014,2.09931767313036e-49,1.9611760438622e-48
"112775987-112775987",59.5,5.89481776330794,0.399309670062142,14.7625219353956,2.55543506190668e-49,2.37497392609162e-48
"112790987-112795987",34.5,5.10852445677817,0.347177697793003,14.7144372730532,5.20776333538443e-49,4.79061086413169e-48
"112795987-112790987",34.5,5.10852445677817,0.347177697793003,14.7144372730532,5.20776333538443e-49,4.79061086413169e-48
"113010987-113015987",34,5.08746284125034,0.345919576577076,14.7070683064298,5.80691765211398e-49,5.28781440745531e-48
"113015987-113010987",34,5.08746284125034,0.345919576577076,14.7070683064298,5.80691765211398e-49,5.28781440745531e-48
"113185987-113190987",34,5.08746284125034,0.347171352108238,14.6540398865175,1.26938278816126e-48,1.14434858352738e-47
"113190987-113185987",34,5.08746284125034,0.347171352108238,14.6540398865175,1.26938278816126e-48,1.14434858352738e-47
"112960987-112965987",33,5.04439411935845,0.350063097208995,14.4099568322874,4.47990316046405e-47,3.99864623679044e-46
"112965987-112960987",33,5.04439411935845,0.350063097208995,14.4099568322874,4.47990316046405e-47,3.99864623679044e-46
"113115987-113120987",34,5.08746284125034,0.35575534889403,14.3004535478278,2.17388157644159e-46,1.92132768741382e-45
"113120987-113115987",34,5.08746284125034,0.35575534889403,14.3004535478278,2.17388157644159e-46,1.92132768741382e-45
"112930987-112935987",32.5,5.02236781302845,0.35308406575295,14.224283393583,6.47643696107971e-46,5.66845429166345e-45
"112935987-112930987",32.5,5.02236781302845,0.35308406575295,14.224283393583,6.47643696107971e-46,5.66845429166345e-45
"113090987-113090987",70,6.12928301694497,0.431463261086615,14.2058051513093,8.43278333923924e-46,7.34507650272867e-45
"112860987-112865987",32,5,0.354510709260415,14.1039462825568,3.59113165837951e-45,3.06863051187595e-44
"112865987-112860987",32,5,0.354510709260415,14.1039462825568,3.59113165837951e-45,3.06863051187595e-44
"113005987-113010987",32,5,0.354510709260415,14.1039462825568,3.59113165837951e-45,3.06863051187595e-44
"113010987-113005987",32,5,0.354510709260415,14.1039462825568,3.59113165837951e-45,3.06863051187595e-44
"112970987-112975987",34,5.08746284125034,0.362240690352476,14.0444267492424,8.33400158371829e-45,7.05455627016154e-44
"112975987-112970987",34,5.08746284125034,0.362240690352476,14.0444267492424,8.33400158371829e-45,7.05455627016154e-44
"113065987-113070987",32,5,0.359412876663178,13.9115772546061,5.38780731248599e-44,4.51824027181965e-43
"113070987-113065987",32,5,0.359412876663178,13.9115772546061,5.38780731248599e-44,4.51824027181965e-43
"112910987-112915987",31.5,4.97727992349992,0.358438530328551,13.8860069505855,7.70104484158449e-44,6.34017527368806e-43
"112915987-112910987",31.5,4.97727992349992,0.358438530328551,13.8860069505855,7.70104484158449e-44,6.34017527368806e-43
"112915987-112920987",31.5,4.97727992349992,0.358438530328551,13.8860069505855,7.70104484158449e-44,6.34017527368806e-43
"112920987-112915987",31.5,4.97727992349992,0.358438530328551,13.8860069505855,7.70104484158449e-44,6.34017527368806e-43
"112840987-112845987",32,5,0.361644021636766,13.8257504641456,1.78243807162501e-43,1.45417911454294e-42
"112845987-112840987",32,5,0.361644021636766,13.8257504641456,1.78243807162501e-43,1.45417911454294e-42
"112810987-112815987",31.5,4.97727992349992,0.36125043581743,13.7779208826072,3.46096739595346e-43,2.79826197977762e-42
"112815987-112810987",31.5,4.97727992349992,0.36125043581743,13.7779208826072,3.46096739595346e-43,2.79826197977762e-42
"112775987-112780987",31,4.95419631038687,0.360734783175446,13.7336252045796,6.38567003219881e-43,5.11705025246865e-42
"112780987-112775987",31,4.95419631038687,0.360734783175446,13.7336252045796,6.38567003219881e-43,5.11705025246865e-42
"113145987-113150987",31.5,4.97727992349992,0.368475017039702,13.5077812425032,1.40698201463477e-41,1.10776793553995e-40
"113150987-113145987",31.5,4.97727992349992,0.368475017039702,13.5077812425032,1.40698201463477e-41,1.10776793553995e-40
"113180987-113185987",31.5,4.97727992349992,0.368475017039702,13.5077812425032,1.40698201463477e-41,1.10776793553995e-40
"113185987-113180987",31.5,4.97727992349992,0.368475017039702,13.5077812425032,1.40698201463477e-41,1.10776793553995e-40
"113125987-113130987",30,4.90689059560852,0.365540673431484,13.4236514627647,4.39512240590815e-41,3.43047865707896e-40
"113130987-113125987",30,4.90689059560852,0.365540673431484,13.4236514627647,4.39512240590815e-41,3.43047865707896e-40
"112810987-112810987",69,6.10852445677817,0.458395731160159,13.3258755296827,1.63700972654984e-40,1.27221057627989e-39
"112835987-112840987",29.5,4.88264304936184,0.368501089706468,13.2500097984816,4.51144362123266e-40,3.47612514918055e-39
"112840987-112835987",29.5,4.88264304936184,0.368501089706468,13.2500097984816,4.51144362123266e-40,3.47612514918055e-39
"112985987-112990987",29.5,4.88264304936184,0.37116055521945,13.1550699035757,1.59136266596308e-39,1.20555751543338e-38
"112990987-112985987",29.5,4.88264304936184,0.37116055521945,13.1550699035757,1.59136266596308e-39,1.20555751543338e-38
"113165987-113170987",29.5,4.88264304936184,0.37116055521945,13.1550699035757,1.59136266596308e-39,1.20555751543338e-38
"113170987-113165987",29.5,4.88264304936184,0.37116055521945,13.1550699035757,1.59136266596308e-39,1.20555751543338e-38
"112950987-112955987",29,4.85798099512757,0.371642671956991,13.071644785962,4.78202446482227e-39,3.59249587919773e-38
"112955987-112950987",29,4.85798099512757,0.371642671956991,13.071644785962,4.78202446482227e-39,3.59249587919773e-38
"113130987-113135987",30,4.90689059560852,0.376207422941114,13.0430456614796,6.96193830469722e-39,5.18693172040045e-38
